year,league,pos,round,stage,team,tier
1952.0,ATHENIAN LEAGUE,3.0,FIRST ROUND PROPER,8.0,BROMLEY,
1952.0,BIRMINGHAM AND DISTRICT LEAGUE,12.0,FIRST ROUND PROPER,8.0,BRUSH SPORTS,
1952.0,CENTRAL ALLIANCE,1.0,FIRST ROUND PROPER,8.0,ILKESTON TOWN,
1952.0,CHESHIRE COUNTY LEAGUE,2.0,FIRST ROUND PROPER,8.0,RHYL,
1952.0,DELPHIAN LEAGUE,6.0,FIRST ROUND PROPER,8.0,AYLESBURY UNITED,
1952.0,EASTERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,GORLESTON,
1952.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,LEYTONSTONE,
1952.0,KENT LEAGUE,5.0,FIRST ROUND PROPER,8.0,FOLKESTONE,
1952.0,LANCASHIRE COMBINATION FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,NELSON,
1952.0,MIDLAND COUNTIES LEAGUE,8.0,FIRST ROUND PROPER,8.0,GAINSBOROUGH TRINITY,
1952.0,NORTH EASTERN LEAGUE,12.0,FIRST ROUND PROPER,8.0,BLACKHALL COLLIERY WELFARE,
1952.0,NORTH-EASTERN LEAGUE,10.0,FIRST ROUND PROPER,8.0,BLYTH SPARTANS,
1952.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,BISHOP AUCKLAND,
1952.0,SHEFFIELD ALLIANCE,3.0,FIRST ROUND PROPER,8.0,RAWMARSH WELFARE,
1952.0,SOUTHERN LEAGUE,5.0,FIRST ROUND PROPER,8.0,HEREFORD UNITED,
1952.0,WESTERN LEAGUE DIVISION 1,1.0,FIRST ROUND PROPER,8.0,CHIPPENHAM TOWN,
1953.0,ATHENIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,HENDON,
1953.0,CHESHIRE COUNTY LEAGUE,2.0,FIRST ROUND PROPER,8.0,WELLINGTON,
1953.0,CORINTHIAN LEAGUE,6.0,FIRST ROUND PROPER,8.0,GRAYS ATHLETIC,
1953.0,EASTERN COUNTIES,5.0,FIRST ROUND PROPER,8.0,GREAT YARMOUTH TOWN,
1953.0,HAMPSHIRE LEAGUE DIVISION ONE,1.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1953.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,WALTHAMSTOW AVENUE,
1953.0,LANCASHIRE COMBINATION FIRST DIVISION,9.0,FIRST ROUND PROPER,8.0,NETHERFIELD (KENDAL),
1953.0,LONDON LEAGUE PREMIER DIVISION,5.0,FIRST ROUND PROPER,8.0,GUILDFORD CITY,
1953.0,MIDLAND COUNTIES LEAGUE,8.0,FIRST ROUND PROPER,8.0,PETERBOROUGH UNITED,
1953.0,NORTH-EASTERN LEAGUE,8.0,FIRST ROUND PROPER,8.0,NORTH SHIELDS,
1953.0,NORTHERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,BISHOP AUCKLAND,
1953.0,SOUTHERN LEAGUE,15.0,FIRST ROUND PROPER,8.0,HEREFORD UNITED,
1953.0,WESTERN LEAGUE DIVISION 1,10.0,FIRST ROUND PROPER,8.0,BATH CITY,
1953.0,YORKSHIRE LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,SELBY TOWN,
1954.0,ATHENIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,FINCHLEY,
1954.0,BIRMINGHAM & DISTRICT,4.0,FIRST ROUND PROPER,8.0,NUNEATON TOWN,
1954.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,WITTON ALBION,
1954.0,EASTERN COUNTIES,5.0,FIRST ROUND PROPER,8.0,GREAT YARMOUTH TOWN,
1954.0,EASTERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,CAMBRIDGE UNITED,
1954.0,HAMPSHIRE LEAGUE DIVISION ONE,1.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1954.0,ISTHMIAN LEAGUE SENIOR SECTION,2.0,FIRST ROUND PROPER,8.0,WALTHAMSTOW AVENUE,
1954.0,LANCASHIRE COMBINATION FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,WIGAN ATHLETIC,
1954.0,MIDLAND COUNTIES LEAGUE,2.0,FIRST ROUND PROPER,8.0,PETERBOROUGH UNITED,
1954.0,NORTH-EASTERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,SPENNYMOOR UNITED,
1954.0,NORTHERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,FERRYHILL ATHLETIC,
1954.0,SOUTHERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,YEOVIL TOWN,
1954.0,YORKSHIRE LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,SELBY TOWN,
1955.0,ATHENIAN LEAGUE,11.0,FIRST ROUND PROPER,8.0,BARNET,
1955.0,BIRMINGHAM & DISTRICT NORTHERN,1.0,FIRST ROUND PROPER,8.0,NUNEATON TOWN,
1955.0,BIRMINGHAM AND DISTRICT LEAGUE NORTHERN DIVISION,9.0,FIRST ROUND PROPER,8.0,HINCKLEY ATHLETIC,
1955.0,CENTRAL ALLIANCE FIRST DIVISION SOUTH,3.0,FIRST ROUND PROPER,8.0,CRESWELL COLLIERY,
1955.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,HYDE UNITED,
1955.0,CORINTHIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,HOUNSLOW TOWN,
1955.0,EASTERN COUNTIES LEAGUE,4.0,FIRST ROUND PROPER,8.0,CAMBRIDGE UNITED,
1955.0,HAMPSHIRE LEAGUE DIVISION ONE,2.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1955.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,WALTHAMSTOW AVENUE,
1955.0,KENT LEAGUE DIVISION 1,7.0,FIRST ROUND PROPER,8.0,TUNBRIDGE WELLS UNITED,
1955.0,LANCASHIRE COMBINATION DIVISION 1,3.0,FIRST ROUND PROPER,8.0,WIGAN ATHLETIC,
1955.0,MIDLAND COUNTIES LEAGUE,5.0,FIRST ROUND PROPER,8.0,BOSTON UNITED,
1955.0,NORTH-EASTERN LEAGUE,5.0,FIRST ROUND PROPER,8.0,HORDEN CW,
1955.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,BISHOP AUCKLAND,
1955.0,SOUTHERN LEAGUE,12.0,FIRST ROUND PROPER,8.0,MERTHYR TOWN,
1955.0,WESTERN LEAGUE DIVISION 1,1.0,FIRST ROUND PROPER,8.0,DORCHESTER TOWN,
1955.0,WESTERN LEAGUE DIVISION 2,2.0,FIRST ROUND PROPER,8.0,FROME TOWN,
1955.0,YORKSHIRE LEAGUE FIRST DIVISION,6.0,FIRST ROUND PROPER,8.0,SELBY TOWN,
1956.0,ATHENIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,HENDON,
1956.0,BIRMINGHAM AND DISTRICT LEAGUE DIVISION 1,5.0,FIRST ROUND PROPER,8.0,BURTON ALBION,
1956.0,CHESHIRE COUNTY LEAGUE,2.0,FIRST ROUND PROPER,8.0,RHYL,
1956.0,EASTERN COUNTIES LEAGUE,2.0,FIRST ROUND PROPER,8.0,MARCH TOWN UNITED,
1956.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,WYCOMBE WANDERERS,
1956.0,KENT LEAGUE DIVISION 1,1.0,FIRST ROUND PROPER,8.0,RAMSGATE ATHLETIC,
1956.0,LANCASHIRE COMBINATION DIVISION 1,4.0,FIRST ROUND PROPER,8.0,NETHERFIELD (KENDAL),
1956.0,LINCONSHIRE LEAGUE,1.0,FIRST ROUND PROPER,8.0,SKEGNESS TOWN,
1956.0,MIDLAND COUNTIES LEAGUE,2.0,FIRST ROUND PROPER,8.0,BOSTON UNITED,
1956.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,BISHOP AUCKLAND,
1956.0,SOUTHERN LEAGUE,8.0,FIRST ROUND PROPER,8.0,LOVELLS ATHLETIC,
1956.0,WEARSIDE LEAGUE,4.0,FIRST ROUND PROPER,8.0,EASINGTON CW,
1956.0,WESTERN LEAGUE DIVISION 1,3.0,FIRST ROUND PROPER,8.0,DORCHESTER TOWN,
1957.0,BIRMINGHAM AND DISTRICT LEAGUE DIVISION 1,2.0,FIRST ROUND PROPER,8.0,BROMSGROVE ROVERS,
1957.0,CENTRAL ALLIANCE FIRST DIVISION SOUTH,3.0,FIRST ROUND PROPER,8.0,ILKESTON TOWN,
1957.0,CHESHIRE COUNTY LEAGUE,5.0,FIRST ROUND PROPER,8.0,RHYL,
1957.0,CORINTHIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,YIEWSLEY,
1957.0,HAMPSHIRE LEAGUE DIVISION ONE,1.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1957.0,ISTHMIAN LEAGUE SENIOR SECTION,6.0,FIRST ROUND PROPER,8.0,TOOTING & MITCHAM UNITED,
1957.0,KENT LEAGUE DIVISION 1,8.0,FIRST ROUND PROPER,8.0,MARGATE,
1957.0,LANCASHIRE COMBINATION DIVISION 1,2.0,FIRST ROUND PROPER,8.0,NEW BRIGHTON,
1957.0,METROPOLITAN LEAGUE,13.0,FIRST ROUND PROPER,8.0,DUNSTABLE TOWN,
1957.0,MIDLAND COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,BOSTON UNITED,
1957.0,NORTH-EASTERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1957.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,BILLINGHAM SYNTHONIA,
1957.0,PETERBOROUGH & DISTRICT PREMIER,2.0,FIRST ROUND PROPER,8.0,ELY CITY,
1957.0,SOUTHERN LEAGUE,4.0,FIRST ROUND PROPER,8.0,CHELTENHAM TOWN,
1957.0,WESTERN LEAGUE DIVISION 1,7.0,FIRST ROUND PROPER,8.0,DORCHESTER TOWN,
1957.0,YORKSHIRE LEAGUE FIRST DIVISION,3.0,FIRST ROUND PROPER,8.0,SELBY TOWN,
1958.0,ATHENIAN LEAGUE,14.0,FIRST ROUND PROPER,8.0,REDHILL,
1958.0,BIRMINGHAM AND DISTRICT LEAGUE DIVISION 2,1.0,FIRST ROUND PROPER,8.0,OSWESTRY TOWN,
1958.0,CHESHIRE COUNTY LEAGUE,9.0,FIRST ROUND PROPER,8.0,RHYL,
1958.0,EASTERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,SPALDING UNITED,
1958.0,HAMPSHIRE LEAGUE DIVISION ONE,3.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1958.0,ISTHMIAN LEAGUE SENIOR SECTION,2.0,FIRST ROUND PROPER,8.0,WYCOMBE WANDERERS,
1958.0,KENT LEAGUE DIVISION 1,2.0,FIRST ROUND PROPER,8.0,MARGATE,
1958.0,LANCASHIRE COMBINATION DIVISION 1,2.0,FIRST ROUND PROPER,8.0,PRESCOT CABLES,
1958.0,MIDLAND COUNTIES LEAGUE,2.0,FIRST ROUND PROPER,8.0,WISBECH TOWN,
1958.0,NORTH-EASTERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1958.0,NORTHERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1958.0,SOUTHERN LEAGUE,5.0,FIRST ROUND PROPER,8.0,WORCESTER CITY,
1958.0,WESTERN LEAGUE DIVISION 1,3.0,FIRST ROUND PROPER,8.0,DORCHESTER TOWN,
1959.0,ATHENIAN LEAGUE,14.0,FIRST ROUND PROPER,8.0,HITCHIN TOWN,
1959.0,CENTRAL ALLIANCE DIVISION 1 NORTH,4.0,FIRST ROUND PROPER,8.0,HEANOR TOWN,
1959.0,CHESHIRE COUNTY LEAGUE,7.0,FIRST ROUND PROPER,8.0,RHYL,
1959.0,HAMPSHIRE LEAGUE DIVISION ONE,2.0,FIRST ROUND PROPER,8.0,NEWPORT (IOW),
1959.0,ISTHMIAN LEAGUE SENIOR SECTION,3.0,FIRST ROUND PROPER,8.0,WYCOMBE WANDERERS,
1959.0,KENT LEAGUE DIVISION 1,5.0,FIRST ROUND PROPER,8.0,MARGATE,
1959.0,LANCASHIRE COMBINATION DIVISION 1,5.0,FIRST ROUND PROPER,8.0,MORECAMBE,
1959.0,MIDLAND COUNTIES LEAGUE,4.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1959.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1959.0,SOUTHERN LEAGUE NORTH WEST,12.0,FIRST ROUND PROPER,8.0,MERTHYR TOWN,
1959.0,SOUTHERN LEAGUE NORTH WEST SECTION,1.0,FIRST ROUND PROPER,8.0,HEREFORD UNITED,
1959.0,SOUTHERN LEAGUE SOUTH EAST SECTION,7.0,FIRST ROUND PROPER,8.0,KING'S LYNN,
1960.0,ATHENIAN LEAGUE,2.0,FIRST ROUND PROPER,8.0,BARNET,
1960.0,CENTRAL ALLIANCE DIVISION 1 NORTH,1.0,FIRST ROUND PROPER,8.0,MATLOCK TOWN,
1960.0,CHESHIRE COUNTY LEAGUE,10.0,FIRST ROUND PROPER,8.0,OSWESTRY TOWN,
1960.0,ISTHMIAN LEAGUE SENIOR SECTION,2.0,FIRST ROUND PROPER,8.0,WYCOMBE WANDERERS,
1960.0,LANCASHIRE COMBINATION DIVISION 1,6.0,FIRST ROUND PROPER,8.0,BURSCOUGH,
1960.0,MIDLAND COUNTIES LEAGUE,4.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1960.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,WEST AUCKLAND TOWN,
1960.0,SOUTHERN LEAGUE FIRST DIVISION,7.0,FIRST ROUND PROPER,8.0,MARGATE,
1960.0,WESTERN LEAGUE DIVISION 1,2.0,FIRST ROUND PROPER,8.0,SALISBURY,
1961.0,ATHENIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,HENDON,
1961.0,CENTRAL ALLIANCE DIVISION 1 NORTH,2.0,FIRST ROUND PROPER,8.0,SUTTON TOWN,
1961.0,CENTRAL ALLIANCE DIVISION 1 SOUTH,2.0,FIRST ROUND PROPER,8.0,LOUGHBOROUGH UNITED,
1961.0,CHESHIRE COUNTY LEAGUE,1.0,FIRST ROUND PROPER,8.0,MACCLESFIELD TOWN,
1961.0,CORINTHIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,MAIDENHEAD UNITED,
1961.0,ISTHMIAN LEAGUE SENIOR SECTION,2.0,FIRST ROUND PROPER,8.0,WALTHAMSTOW AVENUE,
1961.0,NORTHERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,BLYTH SPARTANS,
1961.0,NORTHERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,BISHOP AUCKLAND,
1961.0,SOUTHERN LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,KETTERING TOWN,
1961.0,SOUTHERN PREMIER,13.0,FIRST ROUND PROPER,8.0,FC CLACTON,
1961.0,SUSSEX COUNTY LEAGUE DIVISION ONE,1.0,FIRST ROUND PROPER,8.0,CHICHESTER CITY,
1961.0,WESTERN LEAGUE,5.0,FIRST ROUND PROPER,8.0,BRIDGWATER TOWN,
1961.0,YORKSHIRE LEAGUE FIRST DIVISION,10.0,FIRST ROUND PROPER,8.0,BRIDLINGTON TOWN,
1962.0,ATHENIAN LEAGUE,2.0,FIRST ROUND PROPER,8.0,BARNET,
1962.0,BIRMINGHAM AND DISTRICT LEAGUE,2.0,FIRST ROUND PROPER,8.0,BRIERLEY HILL ALLIANCE,
1962.0,CHESHIRE COUNTY LEAGUE,4.0,FIRST ROUND PROPER,8.0,NORTHWICH VICTORIA,
1962.0,EASTERN COUNTIES LEAGUE,8.0,FIRST ROUND PROPER,8.0,HARWICH & PARKESTON,
1962.0,ISTHMIAN LEAGUE SENIOR SECTION,3.0,FIRST ROUND PROPER,8.0,WALTHAMSTOW AVENUE,
1962.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,MORECAMBE,
1962.0,MIDLAND COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,WORKSOP TOWN,
1962.0,NORTHERN COUNTIES LEAGUE,2.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1962.0,NORTHERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,WEST AUCKLAND TOWN,
1962.0,SOUTHERN LEAGUE FIRST DIVISION,5.0,FIRST ROUND PROPER,8.0,MARGATE,
1962.0,WESTERN LEAGUE,7.0,FIRST ROUND PROPER,8.0,BRIDGWATER TOWN,
1963.0,ATHENIAN LEAGUE,1.0,FIRST ROUND PROPER,8.0,ENFIELD,
1963.0,CHESHIRE COUNTY LEAGUE,17.0,FIRST ROUND PROPER,8.0,RHYL,
1963.0,CORINTHIAN LEAGUE,7.0,FIRST ROUND PROPER,8.0,MAIDENHEAD UNITED,
1963.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,WIMBLEDON,
1963.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,MORECAMBE,
1963.0,MIDLAND COUNTIES LEAGUE,6.0,FIRST ROUND PROPER,8.0,BOSTON UNITED,
1963.0,NORTH EASTERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,SCARBOROUGH,
1963.0,NORTH EASTERN LEAGUE CUP,2.0,FIRST ROUND PROPER,8.0,SOUTH SHIELDS,
1963.0,NORTHERN LEAGUE,1.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1963.0,NORTHERN REGIONAL,11.0,FIRST ROUND PROPER,8.0,GATESHEAD,
1963.0,SOUTH WESTERN LEAGUE,3.0,FIRST ROUND PROPER,8.0,FALMOUTH TOWN,
1963.0,SOUTHERN LEAGUE FIRST DIVISION,1.0,FIRST ROUND PROPER,8.0,MARGATE,
1963.0,SOUTHERN PREMIER LEAGUE,20.0,FIRST ROUND PROPER,8.0,EBBSFLEET UNITED,
1963.0,WESTERN LEAGUE,4.0,FIRST ROUND PROPER,8.0,ANDOVER,
1964.0,ATHENIAN LEAGUE PREMIER DIVISION,1.0,FIRST ROUND PROPER,8.0,BARNET,
1964.0,CHESHIRE COUNTY LEAGUE,4.0,FIRST ROUND PROPER,8.0,BANGOR CITY,
1964.0,EASTERN COUNTIES LEAGUE,3.0,FIRST ROUND PROPER,8.0,HARWICH & PARKESTON,
1964.0,ISTHMIAN LEAGUE SENIOR SECTION,1.0,FIRST ROUND PROPER,8.0,WIMBLEDON,
1964.0,LANCASHIRE COMBINATION DIVISION 1,1.0,FIRST ROUND PROPER,8.0,CHORLEY,
1964.0,MIDLAND COUNTIES LEAGUE,7.0,FIRST ROUND PROPER,8.0,HEANOR TOWN,
1964.0,NORTH EASTERN LEAGUE,4.0,FIRST ROUND PROPER,8.0,BLYTH SPARTANS,
1964.0,NORTHERN LEAGUE,2.0,FIRST ROUND PROPER,8.0,CROOK TOWN,
1964.0,NORTHERN REGIONAL,1.0,FIRST ROUND PROPER,8.0,GATESHEAD,
1964.0,SOUTHERN DIVISION ONE,20.0,FIRST ROUND PROPER,8.0,EBBSFLEET UNITED,
